,NT,BA,LJ,KI,KL,DE,MU,LU,SM,KZ,SU,NS,AJ,HT,BE,TW,TB,JI,MA,UU,HR
NT,X,2,4,2,0,1,0,2,1,1,2,2,2,4,0,2,0,1,0,0,0
BA,0,X,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
LJ,0,0,X,1,0,3,6,2,0,1,1,2,1,0,0,3,1,1,0,0,0
KI,0,0,0,X,0,2,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0
KL,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,0,0,0,0,0,X,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
MU,0,0,0,0,0,0,X,2,1,1,1,0,2,0,0,6,0,0,0,0,0
LU,0,0,0,0,0,0,0,X,0,1,3,0,1,1,0,2,1,1,0,0,0
SM,0,0,0,0,0,0,0,0,X,4,2,1,0,2,0,1,0,0,0,0,0
KZ,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,2,0,0,0,0
SU,0,0,0,0,0,0,0,0,0,0,X,0,1,1,0,0,1,1,0,0,0
NS,0,0,0,0,0,0,0,0,0,0,0,X,1,0,0,1,0,1,0,1,0
AJ,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0
HT,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0
BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0
TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0
TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,2,0,0,0
JI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,2
MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0
UU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0
HR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X
