"Timestamp","Actor","Behavior","Recipient","Location","Observer","Notes"
"10/14/2014 11:57:16","Start","Start","Start","Start","CW",NA
"10/14/2014 12:03:10","6","Mounting","10","NB4","CW",NA
"10/14/2014 12:04:16","6","Fighting","5","NB5","CW",NA
"10/14/2014 12:19:27","3","Fighting","4","ML","CW",NA
"10/14/2014 12:28:05","4","Subordinate","10","LL","CW",NA
"10/14/2014 12:30:49","4","Fighting","2","NB1","CW",NA
"10/14/2014 12:34:39","4","Fighting","2","NB5","CW",NA
"10/14/2014 12:40:36","4","Subordinate","1","NB5","CW",NA
"10/14/2014 12:44:08","4","Chasing","11","LL, LR","CW",NA
"10/14/2014 12:44:47","4","Fighting","1","LR","CW",NA
"10/14/2014 12:46:36","5","Subordinate","1","MR","CW",NA
"10/14/2014 12:48:59","4","Chasing","1","LL","CW",NA
"10/14/2014 12:50:16","4","Chasing","1","LR","CW",NA
"10/14/2014 12:51:30","4","Fighting","8","NB5","CW",NA
"10/14/2014 13:03:20","5","Subordinate","1","LL","CW",NA
"10/14/2014 13:14:49","4","Fighting","2","UR","CW",NA
"10/14/2014 13:21:47","1","Chasing","8","UR, MR","CW",NA
"10/14/2014 13:23:25","4","Fighting","5","NB5","CW",NA
"10/14/2014 13:26:34","9","Chasing","11","MR","CW",NA
"10/14/2014 13:30:58","2, 4","Fighting","2, 4","LR","CW","long fight, it wasn't clear who started it, neither gave in"
"10/14/2014 13:31:49","4","Fighting","5","NB4","CW",NA
"10/14/2014 13:32:56","6","Fighting","2","LL","CW",NA
"10/14/2014 13:34:20","4","Chasing","7","LL, LR","CW",NA
"10/14/2014 13:37:14","6","Mounting","10","UL","CW",NA
"10/14/2014 13:39:06","6","Mounting","1","MR","CW",NA
"10/14/2014 13:39:42","4","Chasing","3","LR","CW",NA
"10/14/2014 13:40:41","4","Chasing","11","LR","CW",NA
"10/14/2014 13:42:25","4","Fighting","2","NB1","CW",NA
"10/14/2014 13:46:47","3","Mounting","6","UL","CW",NA
"10/14/2014 13:59:21","End","End","End","End","CW",NA
"10/15/2014 16:01:05","Start","Start","Start","Start","HHG",NA
"10/15/2014 16:46:15","12","Fighting, Chasing","8","NB4","HHG",NA
"10/15/2014 16:53:07","12","Chasing","4","LR","HHG",NA
"10/15/2014 17:01:07","3","Chasing","7","LR","HHG",NA
"10/15/2014 17:08:40","12","Chasing","7","MR","HHG",NA
"10/15/2014 17:11:17","3","Chasing","7","AllOver","HHG",NA
"10/15/2014 17:16:42","3","Chasing","7","UR","HHG",NA
"10/15/2014 17:18:13","3","Chasing","7","ML","HHG",NA
"10/15/2014 17:18:30","12","Chasing","3","MR","HHG",NA
"10/15/2014 17:19:22","12","Induce-flee","5","NB5","HHG",NA
"10/15/2014 17:20:46","3","Chasing","7","UR","HHG",NA
"10/15/2014 17:22:34","12","Chasing","8","LR","HHG",NA
"10/15/2014 17:26:38","9","Chasing","11","UL","HHG",NA
"10/15/2014 17:27:54","9","Chasing","11","MR","HHG",NA
"10/15/2014 17:32:56","3","Chasing","5","MR","HHG",NA
"10/15/2014 17:35:55","12","Chasing","2","LL","HHG",NA
